"","duration","sex","urinary_calcium_excretion","parathyroid_suppression","hypercalciuria_predisposition","history_of_nephrolithiasis","vitamin_d_inflight","nutrients_risk","urinary_oxalate_excretion","bone_formation","bone_resorption","hydration_fluid_intake","urine_chemistry","nephrolithiasis"
"duration",2035.13781016235,0.117432909306918,13.6981205308605,15.8327151147078,0.5223726702626,0.80018373629894,-14.8228341475984,0.570721992779087,-0.244321860302868,-4.90356380487377,30.2230921121569,-0.463096044426393,1.91639189488413,1.26637308128807
"sex",0.117432909306918,0.16075975975976,-0.0125109938502285,-0.00338707058209595,-0.00169440746357816,0.00624124124124124,0.00515031267517819,-0.00984739544077476,-0.00287720991836056,0.00302428676639674,-0.00189252951747037,-0.00693652947671334,0.000792313450136985,-0.00471371371371371
"urinary_calcium_excretion",13.6981205308605,-0.0125109938502285,1.02544438413699,0.597720076381666,0.519330302636998,-0.00152976361154093,-0.130051040344715,-0.0340978482766618,-0.067797213679408,-0.0598709815725682,0.588538497347821,-0.0215236255880493,0.454365308908126,0.0384333519757981
"parathyroid_suppression",15.8327151147078,-0.00338707058209595,0.597720076381666,0.988045825789472,0.144581371003204,0.000777258486564822,-0.116101845519908,-0.0324357860622986,-0.0304553779722255,-0.0546167447104171,0.593123635212821,-0.00284727597000066,0.253180204230991,0.0165996491336349
"hypercalciuria_predisposition",0.5223726702626,-0.00169440746357816,0.519330302636998,0.144581371003204,1.06552690381077,0.00406456230707153,-0.0402098701954855,-0.0251150460169637,-0.0854299608098747,-0.0218075520507883,0.19845260433155,-0.0270557432516516,0.242328385156789,0.0221420591033667
"history_of_nephrolithiasis",0.80018373629894,0.00624124124124124,-0.00152976361154093,0.000777258486564822,0.00406456230707153,0.179954954954955,0.00050219585747659,-0.0209366630480044,-0.0243373239397738,-0.00404176119237903,0.0182033826151476,-0.0102642041983497,0.164259073638732,0.000615615615615616
"vitamin_d_inflight",-14.8228341475984,0.00515031267517819,-0.130051040344715,-0.116101845519908,-0.0402098701954855,0.00050219585747659,0.990567665725638,-0.000723489459985827,0.0324876124512334,0.0695920881024434,-0.184590984198635,-0.0132977945107632,0.296034833950472,-0.00081897412618182
"nutrients_risk",0.570721992779087,-0.00984739544077476,-0.0340978482766618,-0.0324357860622986,-0.0251150460169637,-0.0209366630480044,-0.000723489459985827,0.880218688569914,0.529166370649736,0.0237113410452386,-0.0214755708221094,0.0121482172950162,0.284149441993546,0.00477985519289076
"urinary_oxalate_excretion",-0.244321860302868,-0.00287720991836056,-0.067797213679408,-0.0304553779722255,-0.0854299608098747,-0.0243373239397738,0.0324876124512334,0.529166370649736,1.05673169237412,0.00910912030232354,-0.0654217212344971,0.00849201527999404,0.473139429643533,0.022994154135196
"bone_formation",-4.90356380487377,0.00302428676639674,-0.0598709815725682,-0.0546167447104171,-0.0218075520507883,-0.00404176119237903,0.0695920881024434,0.0237113410452386,0.00910912030232354,0.973507821522445,-0.0870246729528261,0.0135366951919087,0.0218182718578876,-0.0122384637605379
"bone_resorption",30.2230921121569,-0.00189252951747037,0.588538497347821,0.593123635212821,0.19845260433155,0.0182033826151476,-0.184590984198635,-0.0214755708221094,-0.0654217212344971,-0.0870246729528261,1.0797887505474,-0.00961111021641078,0.216415059729279,0.0264513102525516
"hydration_fluid_intake",-0.463096044426393,-0.00693652947671334,-0.0215236255880493,-0.00284727597000066,-0.0270557432516516,-0.0102642041983497,-0.0132977945107632,0.0121482172950162,0.00849201527999404,0.0135366951919087,-0.00961111021641078,0.16391405081502,-0.177788330090109,-0.0134072434052951
"urine_chemistry",1.91639189488413,0.000792313450136985,0.454365308908126,0.253180204230991,0.242328385156789,0.164259073638732,0.296034833950472,0.284149441993546,0.473139429643533,0.0218182718578876,0.216415059729279,-0.177788330090109,1.00270414279277,0.0531028381452665
"nephrolithiasis",1.26637308128807,-0.00471371371371371,0.0384333519757981,0.0165996491336349,0.0221420591033667,0.000615615615615616,-0.00081897412618182,0.00477985519289076,0.022994154135196,-0.0122384637605379,0.0264513102525516,-0.0134072434052951,0.0531028381452665,0.0828018018018018
