"from","to","weight","oriented","arm","round"
"duration","vitamin_d_inflight",0.00811989119094278,TRUE,"legacy",1
"bone_resorption","duration",0,TRUE,"legacy",1
"parathyroid_suppression","urinary_calcium_excretion",0,TRUE,"legacy",1
"hypercalciuria_predisposition","urinary_calcium_excretion",0,TRUE,"legacy",1
"urinary_calcium_excretion","bone_resorption",0.378251880450227,TRUE,"legacy",1
"urinary_calcium_excretion","urine_chemistry",0.44576646446087,TRUE,"legacy",1
"parathyroid_suppression","bone_resorption",0.600299722676225,TRUE,"legacy",1
"history_of_nephrolithiasis","urine_chemistry",0.912778832235259,TRUE,"legacy",1
"vitamin_d_inflight","urine_chemistry",0.351224338986682,TRUE,"legacy",1
"urinary_oxalate_excretion","nutrients_risk",0.300588011548283,FALSE,"legacy",1
"nutrients_risk","urine_chemistry",0.199785095662852,TRUE,"legacy",1
"urinary_oxalate_excretion","urine_chemistry",0.428521066114468,TRUE,"legacy",1
"hydration_fluid_intake","urine_chemistry",1.08464362393646,TRUE,"legacy",1
"duration","vitamin_d_inflight",0.00811989119094278,TRUE,"direction_fixed",1
"bone_resorption","duration",29.9468749298714,TRUE,"direction_fixed",1
"parathyroid_suppression","urinary_calcium_excretion",0.60495177529248,TRUE,"direction_fixed",1
"hypercalciuria_predisposition","urinary_calcium_excretion",0.487392951580721,TRUE,"direction_fixed",1
"urinary_calcium_excretion","bone_resorption",0.378251880450227,TRUE,"direction_fixed",1
"urinary_calcium_excretion","urine_chemistry",0.44576646446087,TRUE,"direction_fixed",1
"parathyroid_suppression","bone_resorption",0.600299722676225,TRUE,"direction_fixed",1
"history_of_nephrolithiasis","urine_chemistry",0.912778832235259,TRUE,"direction_fixed",1
"vitamin_d_inflight","urine_chemistry",0.351224338986682,TRUE,"direction_fixed",1
"urinary_oxalate_excretion","nutrients_risk",0.250378773755179,FALSE,"direction_fixed",1
"nutrients_risk","urine_chemistry",0.199785095662852,TRUE,"direction_fixed",1
"urinary_oxalate_excretion","urine_chemistry",0.428521066114468,TRUE,"direction_fixed",1
"hydration_fluid_intake","urine_chemistry",1.08464362393646,TRUE,"direction_fixed",1
"duration","vitamin_d_inflight",0.00811989119094278,TRUE,"legacy",2
"bone_resorption","duration",0,TRUE,"legacy",2
"parathyroid_suppression","urinary_calcium_excretion",0,TRUE,"legacy",2
"hypercalciuria_predisposition","urinary_calcium_excretion",0,TRUE,"legacy",2
"urinary_calcium_excretion","bone_resorption",0.378251880450227,TRUE,"legacy",2
"urinary_calcium_excretion","urine_chemistry",0.44576646446087,TRUE,"legacy",2
"parathyroid_suppression","bone_resorption",0.600299722676225,TRUE,"legacy",2
"history_of_nephrolithiasis","urine_chemistry",0.912778832235259,TRUE,"legacy",2
"vitamin_d_inflight","urine_chemistry",0.351224338986682,TRUE,"legacy",2
"nutrients_risk","urinary_oxalate_excretion",0.300588011548283,FALSE,"legacy",2
"nutrients_risk","urine_chemistry",0.199785095662852,TRUE,"legacy",2
"urinary_oxalate_excretion","urine_chemistry",0.428521066114468,TRUE,"legacy",2
"hydration_fluid_intake","urine_chemistry",1.08464362393646,TRUE,"legacy",2
"urine_chemistry","nephrolithiasis",0.184294101220348,TRUE,"legacy",2
"duration","vitamin_d_inflight",0.00811989119094278,TRUE,"direction_fixed_stale_reversal",2
"bone_resorption","duration",29.9468749298714,TRUE,"direction_fixed_stale_reversal",2
"parathyroid_suppression","urinary_calcium_excretion",0.60495177529248,TRUE,"direction_fixed_stale_reversal",2
"hypercalciuria_predisposition","urinary_calcium_excretion",0.487392951580721,TRUE,"direction_fixed_stale_reversal",2
"urinary_calcium_excretion","bone_resorption",0.378251880450227,TRUE,"direction_fixed_stale_reversal",2
"urinary_calcium_excretion","urine_chemistry",0.44576646446087,TRUE,"direction_fixed_stale_reversal",2
