arm,round,feature,gamma
legacy,1,duration,0.0
legacy,1,sex,0.0
legacy,1,urinary_calcium_excretion,0.0
legacy,1,parathyroid_suppression,0.0
legacy,1,hypercalciuria_predisposition,0.0
legacy,1,history_of_nephrolithiasis,0.0
legacy,1,vitamin_d_inflight,0.0
legacy,1,nutrients_risk,0.0
legacy,1,urinary_oxalate_excretion,0.0
legacy,1,bone_formation,0.0
legacy,1,bone_resorption,0.0
legacy,1,hydration_fluid_intake,0.0
legacy,1,urine_chemistry,0.0
direction_fixed,1,duration,0.0
direction_fixed,1,sex,0.0
direction_fixed,1,urinary_calcium_excretion,0.0
direction_fixed,1,parathyroid_suppression,0.0
direction_fixed,1,hypercalciuria_predisposition,0.0
direction_fixed,1,history_of_nephrolithiasis,0.0
direction_fixed,1,vitamin_d_inflight,0.0
direction_fixed,1,nutrients_risk,0.0
direction_fixed,1,urinary_oxalate_excretion,0.0
direction_fixed,1,bone_formation,0.0
direction_fixed,1,bone_resorption,0.0
direction_fixed,1,hydration_fluid_intake,0.0
direction_fixed,1,urine_chemistry,0.0
legacy,2,duration,0.0006261892187620237
legacy,2,sex,0.0
legacy,2,urinary_calcium_excretion,0.09787644018628514
legacy,2,parathyroid_suppression,0.0
legacy,2,hypercalciuria_predisposition,0.0
legacy,2,history_of_nephrolithiasis,0.20041781941724301
legacy,2,vitamin_d_inflight,0.07711793225265186
legacy,2,nutrients_risk,0.07214888047342888
legacy,2,urinary_oxalate_excretion,0.09408988750834485
legacy,2,bone_formation,0.0
legacy,2,bone_resorption,0.0
legacy,2,hydration_fluid_intake,0.23815397802535107
legacy,2,urine_chemistry,0.21956887291793314
direction_fixed_stale_reversal,2,duration,0.0005459168462758089
direction_fixed_stale_reversal,2,sex,0.0
direction_fixed_stale_reversal,2,urinary_calcium_excretion,0.09151332761897414
direction_fixed_stale_reversal,2,parathyroid_suppression,0.06517515213376618
direction_fixed_stale_reversal,2,hypercalciuria_predisposition,0.04460295085718532
direction_fixed_stale_reversal,2,history_of_nephrolithiasis,0.17472588258552646
direction_fixed_stale_reversal,2,vitamin_d_inflight,0.06723203962200254
direction_fixed_stale_reversal,2,nutrients_risk,0.05878140009800595
direction_fixed_stale_reversal,2,urinary_oxalate_excretion,0.08202832804523588
direction_fixed_stale_reversal,2,bone_formation,0.0
direction_fixed_stale_reversal,2,bone_resorption,0.016348503517531483
direction_fixed_stale_reversal,2,hydration_fluid_intake,0.2076245721200251
direction_fixed_stale_reversal,2,urine_chemistry,0.19142192655547113
direction_and_reversal_fixed,2,duration,0.0005436776664056933
direction_and_reversal_fixed,2,sex,0.0
direction_and_reversal_fixed,2,urinary_calcium_excretion,0.0911379686197976
direction_and_reversal_fixed,2,parathyroid_suppression,0.0649078240787973
direction_and_reversal_fixed,2,hypercalciuria_predisposition,0.04442000352667428
direction_and_reversal_fixed,2,history_of_nephrolithiasis,0.17400921175599865
direction_and_reversal_fixed,2,vitamin_d_inflight,0.06695627485897059
direction_and_reversal_fixed,2,nutrients_risk,0.06264198391522359
direction_and_reversal_fixed,2,urinary_oxalate_excretion,0.08169187354270285
direction_and_reversal_fixed,2,bone_formation,0.0
direction_and_reversal_fixed,2,bone_resorption,0.016281447078015647
direction_and_reversal_fixed,2,hydration_fluid_intake,0.2067729611730392
direction_and_reversal_fixed,2,urine_chemistry,0.19063677378437457
