"first","second","truth_sign","ordinary_point_agreement","asymmetric_point_agreement","ordinary_bootstrap_mean_agreement","asymmetric_bootstrap_mean_agreement","point_agreement_difference","bootstrap_mean_agreement_difference"
"altered_gravity","astronaut_selection",-1,1,1,1,1,0,0
"altered_gravity","bisphosphonates",-1,-1,-1,-0.287,-0.951,0,-0.664
"altered_gravity","bone_fracture_risk",1,-1,-1,-1,-1,0,0
"altered_gravity","bone_remodeling",-1,1,1,1,1,0,0
"altered_gravity","co2_risk",-1,-1,-1,-1,-1,0,0
"altered_gravity","crew_health_and_performance_system",1,1,1,1,1,0,0
"altered_gravity","distance_from_earth",1,1,1,1,1,0,0
"altered_gravity","food_and_nutrition_risk",1,1,1,1,1,0,0
"altered_gravity","hostile_closed_environment",1,1,1,1,1,0,0
"altered_gravity","hsia_risk",1,1,1,1,1,0,0
"altered_gravity","humidity",1,1,1,1,1,0,0
"altered_gravity","hydration",-1,1,1,1,1,0,0
"altered_gravity","individual_factors",-1,1,1,1,1,0,0
"altered_gravity","k_plus_citrate",-1,1,1,1,0.999,0,-0.001
"altered_gravity","medical_prevention_capability",-1,-1,-1,-1,-1,0,0
"altered_gravity","medical_treatment_capability",1,-1,-1,-1,-1,0,0
"altered_gravity","microbiome",-1,1,1,0.966,0.223,0,-0.743
"altered_gravity","microhost_risk",1,-1,-1,-1,-1,0,0
"altered_gravity","mineralized_renal_material",-1,1,1,1,1,0,0
"altered_gravity","nutrients",-1,1,1,1,1,0,0
"altered_gravity","pharm_risk",1,1,1,1,1,0,0
"altered_gravity","resistive_exercise",-1,1,1,1,1,0,0
"altered_gravity","thiazides",-1,1,1,1,1,0,0
"altered_gravity","urine_chemistry",-1,1,1,1,1,0,0
"altered_gravity","urine_concentration",-1,1,1,1,1,0,0
"altered_gravity","vehicle_design",1,-1,1,-0.099,1,2,1.099
"altered_gravity","water_intake",1,1,1,1,1,0,0
"astronaut_selection","bisphosphonates",1,1,1,1,1,0,0
"astronaut_selection","bone_fracture_risk",1,1,1,1,1,0,0
"astronaut_selection","bone_remodeling",1,-1,-1,-0.908,-0.97,0,-0.0619999999999999
"astronaut_selection","co2_risk",1,1,1,1,1,0,0
"astronaut_selection","crew_health_and_performance_system",1,1,1,1,1,0,0
"astronaut_selection","distance_from_earth",1,1,1,1,1,0,0
"astronaut_selection","food_and_nutrition_risk",1,1,1,1,1,0,0
"astronaut_selection","hostile_closed_environment",1,1,1,1,1,0,0
"astronaut_selection","hsia_risk",1,1,1,1,1,0,0
"astronaut_selection","humidity",1,1,1,1,1,0,0
"astronaut_selection","hydration",1,1,1,0.993,0.938,0,-0.055
