from,to
spaceflight_exposure,microgravity
microgravity,cephalad_fluid_shift
cephalad_fluid_shift,intracranial_pressure_or_related_pressure_state
intracranial_pressure_or_related_pressure_state,ocular_pressure_or_globe_shape_change
ocular_pressure_or_globe_shape_change,globe_flattening
ocular_pressure_or_globe_shape_change,chorioretinal_folds
ocular_pressure_or_globe_shape_change,vascular_edema
optic_disc_or_retinal_changes,cotton_wool_spots
globe_flattening,vision_change
chorioretinal_folds,vision_change
vascular_edema,vision_change
cotton_wool_spots,vision_change
vision_change,task_readiness_or_mission_impact
