n,sampling_se,depth,true_total_effect,detection_rate
25,0.2,1,0.6,0.9275
25,0.2,2,0.36,0.4925
25,0.2,3,0.21599999999999997,0.19
25,0.2,4,0.1296,0.0925
25,0.2,5,0.07775999999999998,0.08
34,0.17149858514250882,1,0.6,0.9725
34,0.17149858514250882,2,0.36,0.5725
34,0.17149858514250882,3,0.21599999999999997,0.295
34,0.17149858514250882,4,0.1296,0.1425
34,0.17149858514250882,5,0.07775999999999998,0.1
45,0.14907119849998599,1,0.6,0.9825
45,0.14907119849998599,2,0.36,0.6775
45,0.14907119849998599,3,0.21599999999999997,0.33
45,0.14907119849998599,4,0.1296,0.135
45,0.14907119849998599,5,0.07775999999999998,0.09
61,0.12803687993289598,1,0.6,1.0
61,0.12803687993289598,2,0.36,0.8425
61,0.12803687993289598,3,0.21599999999999997,0.41
61,0.12803687993289598,4,0.1296,0.2025
61,0.12803687993289598,5,0.07775999999999998,0.1175
83,0.10976425998969035,1,0.6,1.0
83,0.10976425998969035,2,0.36,0.93
83,0.10976425998969035,3,0.21599999999999997,0.5025
83,0.10976425998969035,4,0.1296,0.235
83,0.10976425998969035,5,0.07775999999999998,0.1275
111,0.0949157995752499,1,0.6,1.0
111,0.0949157995752499,2,0.36,0.97
111,0.0949157995752499,3,0.21599999999999997,0.6275
111,0.0949157995752499,4,0.1296,0.2775
111,0.0949157995752499,5,0.07775999999999998,0.1425
150,0.08164965809277261,1,0.6,1.0
150,0.08164965809277261,2,0.36,0.995
150,0.08164965809277261,3,0.21599999999999997,0.755
150,0.08164965809277261,4,0.1296,0.355
150,0.08164965809277261,5,0.07775999999999998,0.1625
202,0.07035975447302918,1,0.6,1.0
202,0.07035975447302918,2,0.36,0.9975
202,0.07035975447302918,3,0.21599999999999997,0.855
202,0.07035975447302918,4,0.1296,0.4575
202,0.07035975447302918,5,0.07775999999999998,0.21
272,0.06063390625908324,1,0.6,1.0
272,0.06063390625908324,2,0.36,1.0
272,0.06063390625908324,3,0.21599999999999997,0.9525
272,0.06063390625908324,4,0.1296,0.6075
272,0.06063390625908324,5,0.07775999999999998,0.2825
367,0.052199575097188054,1,0.6,1.0
367,0.052199575097188054,2,0.36,1.0
367,0.052199575097188054,3,0.21599999999999997,0.985
367,0.052199575097188054,4,0.1296,0.74
367,0.052199575097188054,5,0.07775999999999998,0.365
495,0.044946657497549475,1,0.6,1.0
495,0.044946657497549475,2,0.36,1.0
495,0.044946657497549475,3,0.21599999999999997,0.9975
495,0.044946657497549475,4,0.1296,0.8225
495,0.044946657497549475,5,0.07775999999999998,0.4175
667,0.038720154633118314,1,0.6,1.0
667,0.038720154633118314,2,0.36,1.0
667,0.038720154633118314,3,0.21599999999999997,1.0
667,0.038720154633118314,4,0.1296,0.915
667,0.038720154633118314,5,0.07775999999999998,0.5125
899,0.033351867298253506,1,0.6,1.0
899,0.033351867298253506,2,0.36,1.0
899,0.033351867298253506,3,0.21599999999999997,1.0
899,0.033351867298253506,4,0.1296,0.98
899,0.033351867298253506,5,0.07775999999999998,0.64
1212,0.0287242494810713,1,0.6,1.0
1212,0.0287242494810713,2,0.36,1.0
1212,0.0287242494810713,3,0.21599999999999997,1.0
1212,0.0287242494810713,4,0.1296,0.995
1212,0.0287242494810713,5,0.07775999999999998,0.7825
1633,0.02474610820719749,1,0.6,1.0
1633,0.02474610820719749,2,0.36,1.0
1633,0.02474610820719749,3,0.21599999999999997,1.0
1633,0.02474610820719749,4,0.1296,1.0
1633,0.02474610820719749,5,0.07775999999999998,0.8675
2202,0.021310387296367063,1,0.6,1.0
2202,0.021310387296367063,2,0.36,1.0
2202,0.021310387296367063,3,0.21599999999999997,1.0
2202,0.021310387296367063,4,0.1296,1.0
2202,0.021310387296367063,5,0.07775999999999998,0.96
2968,0.018355577455358808,1,0.6,1.0
2968,0.018355577455358808,2,0.36,1.0
2968,0.018355577455358808,3,0.21599999999999997,1.0
2968,0.018355577455358808,4,0.1296,1.0
2968,0.018355577455358808,5,0.07775999999999998,0.99
4000,0.015811388300841896,1,0.6,1.0
4000,0.015811388300841896,2,0.36,1.0
4000,0.015811388300841896,3,0.21599999999999997,1.0
4000,0.015811388300841896,4,0.1296,1.0
4000,0.015811388300841896,5,0.07775999999999998,1.0
